path	name	ext	bucket	duration_seconds	sample_rate	channels	bpm	size_bytes	modified_epoch
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n187.wav	slice_03n187.wav	wav	drums	0.13	44100	2		23556	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n188.wav	slice_03n188.wav	wav	drums	0.13	44100	2		22368	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n189.wav	slice_03n189.wav	wav	drums	1.07	44100	2		187936	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n190.wav	slice_03n190.wav	wav	drums	0.13	44100	2		23656	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n191.wav	slice_03n191.wav	wav	drums	0.52	44100	2		92364	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n192.wav	slice_03n192.wav	wav	drums	1.05	44100	2		185432	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n193.wav	slice_03n193.wav	wav	drums	0.33	44100	2		58588	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n194.wav	slice_03n194.wav	wav	drums	0.12	44100	2		21796	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n195.wav	slice_03n195.wav	wav	drums	1.06	44100	2		186360	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n196.wav	slice_03n196.wav	wav	drums	0.14	44100	2		24072	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n197.wav	slice_03n197.wav	wav	drums	0.30	44100	2		52420	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n198.wav	slice_03n198.wav	wav	drums	0.11	44100	2		19008	1783747895
slices/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg/slice_03n199.wav	slice_03n199.wav	wav	drums	0.11	44100	2		19672	1783747895
