path	duration_seconds	estimated_bpm	status
organized/bass/bass_15_free_808_bass_sounds_pack_royalty_free_samples_0kjms-hsb1e.wav	48.40	unknown	unknown
organized/bass/synths_from_bass_to_lead_-_melodic_techno_diva_presets_free_midi_fl_studio_project_boop8fjyje8.wav	430.79	unknown	unknown
organized/drums/drums_170_free_drum_kit_-_doomsday_free_drum_kit_download_2026_7nrkragyuus.wav	156.18	unknown	unknown
organized/drums/drums_500_royalty_free_kick_drum_samples_loops_free_edm_samples_pack_vol._6_nagstyh_e_0.wav	131.22	unknown	unknown
organized/drums/drums_789_free_edm_trap_drum_samples_loops_free_drums_mega_pack_il0_dpyt9wi.wav	73.61	unknown	unknown
organized/drums/drums_7_best_free_drum_vsts_in_2026_xexgupoqxje.wav	557.23	unknown	unknown
organized/drums/drums_david_lee_jr_-_cosmic_vision_drum_break_-_loop_zdcrvgjkjp0.wav	30.05	unknown	unknown
organized/drums/drums_every_producer_needs_this_free_sauce_vsts_sounds_drum_kits_sites_ija_a1b14jk.wav	188.01	unknown	unknown
organized/drums/drums_free_drum_kit_2023_free_hq_download_edm_deep_house_chillstep_future_bass_etc_xsyn-3ze0ng.wav	204.88	unknown	unknown
organized/drums/drums_free_drum_n_bass_drum_kit_2026_free_drum_kit_download_gnwf6any0-8.wav	194.42	unknown	unknown
organized/drums/drums_free_exotic_edm_drum_kit_loops_midis_vocal_loops_free_drum_kit_2026_ote2vaqg7x8.wav	826.13	unknown	unknown
organized/drums/drums_free_royalty_free_drum_breaks_percussion_loops_raw_rhythms_boom_bap_hip_hop_old_school_lofi_amvyznkhasg.wav	454.01	unknown	unknown
organized/drums/drums_high_quality_free_edm_drum_samples_by_wave_alchemy_8odqe8wpaoa.wav	284.33	unknown	unknown
organized/drums/drums_high_quality_free_edm_drum_samples_by_wave_alchemy_pv_skfz2w5i.wav	275.06	unknown	unknown
organized/drums/drums_jazz_drum_loops_jazz_drums_backing_tracks_and_jazz_drum_breaks_samples_tzyksqcvkf8.wav	59.44	unknown	unknown
organized/drums/drums_no_copyright_music_drum_breaks_collection_q68zfjua_is.wav	143.93	unknown	unknown
organized/drums/drums_real_drum_samples_-_free_real_drums_soundpacks_0jpr2urfuww.wav	36.35	unknown	unknown
organized/drums/drums_royalty-free_edm_drum_fills_-_sample_pack_high_quality_qfbjbpcgl4a.wav	38.65	unknown	unknown
organized/drums/drums_royalty_free_dancehall_drum_kit_2025_-_jango_m0e23lx6ixq.wav	15.38	unknown	unknown
organized/drums/drums_royalty_free_drum_breaks_percussion_loops_raw_rhythms_3_boom_bap_hip_hop_old_school_lofi_g5njofib9ia.wav	298.28	unknown	unknown
organized/drums/drums_the_best_free_drum_kits_every_producer_needs_in_2021_for_any_genre_qjuvwegowai.wav	496.01	unknown	unknown
organized/drums/drums_where_to_find_free_drum_kits_samples_all_the_drum_sounds_you_need_and_how_to_use_them_like_a_pro_bg6ekvlww1g.wav	886.07	unknown	unknown
organized/drums/jungle_35_classic_jungle_drum_bass_breaks_-_a_to_z_hicxfsrjzn0.wav	50.85	unknown	unknown
organized/drums/synths_techno_samples_-_serious_techno_2_-_royalty_free_drum_samples_basslines_synth_melodies_loops_vox_1zu10eyl2nc.wav	140.31	unknown	unknown
organized/fx/spoken_word_voice_over_lines_for_every_scene_-_royalty_free_voice_sfx_bundle_-rgkb4wyuwk.wav	40.68	unknown	unknown
